;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
8709;femenino;industria;fabrica_de_;enciso;2;8;2016-11-17;6000000.0;microempresarial
8710;femenino;comercio;peluqueria;villa_hermosa;3;8;2018-04-25;3000000.0;microempresarial
8711;masculino;servicio;variedades;robledo;2;7;2018-02-27;4000000.0;microempresarial
8712;femenino;comercio;comidas_rapidas;robledo;1;7;2018-02-14;2000000.0;microempresarial
8713;masculino;servicio;barberia;el_socorro;2;13;2017-05-30;7370000.0;microempresarial
8714;masculino;comercio;comidas_rapidas;villatina;1;8;2017-05-05;7000000.0;microempresarial
8715;femenino;servicio;comidas_rapidas;villa_hermosa;3;8;2018-02-06;3500000.0;microempresarial
8716;masculino;industria;fabrica_de_;robledo;2;7;2016-02-17;5000000.0;microempresarial
8718;masculino;comercio;granero;campo_valdes_no__1;2;4;2017-05-03;6000000.0;microempresarial
8719;masculino;industria;taller_de_mecanica;buenos_aires;2;9;2018-10-03;6000000.0;microempresarial
8720;femenino;comercio;comidas_rapidas;san_german;1;7;2016-10-05;5000000.0;microempresarial
8721;masculino;servicio;comidas_rapidas;la_floresta;3;12;2017-10-20;73770000.0;microempresarial
8722;femenino;comercio;tienda;la_milagrosa;3;9;2017-06-02;5000000.0;microempresarial
8723;femenino;comercio;fabrica_de_;popular;1;1;2018-10-22;7800000.0;microempresarial
8725;femenino;industria;fabrica_de_alimentos;antonio_nari¿o;2;13;2016-01-18;5000000.0;microempresarial
8726;masculino;comercio;productos_de_belleza;robledo;2;7;2018-05-18;7800000.0;microempresarial
8727;femenino;servicio;fabrica_de_alimentos;santander;2;6;2018-02-08;6000000.0;microempresarial
8728;femenino;comercio;restaurante;barrio_caicedo;3;9;2017-10-11;5000000.0;microempresarial
8729;masculino;servicio;barberia;la_mansion;3;8;2018-05-11;5000000.0;microempresarial
8730;femenino;servicio;mantenimiento_en_;el_salvador;3;9;2017-01-13;6900000.0;microempresarial
8731;masculino;comercio;miscelanea;florencia;3;5;2016-08-30;4000000.0;microempresarial
8732;masculino;comercio;comidas_rapidas;20_de_julio;2;13;2018-08-23;5000000.0;microempresarial
8733;femenino;comercio;variedades;cabecera_san_cristobal;1;60;2018-05-11;800000.0;microempresarial
8734;femenino;servicio;comidas_rapidas;robledo;2;7;2016-10-11;4000000.0;microempresarial
8735;femenino;industria;fabrica_de_;aguas_frias;1;70;2017-07-05;7300000.0;microempresarial
8736;masculino;comercio;tienda;la_milagrosa;3;9;2016-03-03;1500000.0;microempresarial
8737;femenino;industria;fabrica_de_;aranjuez;3;4;2017-02-22;7000000.0;microempresarial
8738;femenino;agropecuaria;criadero_de_animales_;altavista;2;16;2017-09-05;5000000.0;agropecuaria
8739;femenino;comercio;restaurante;santa_lucia;3;12;2017-03-21;7370000.0;microempresarial
8740;femenino;industria;fabrica_de_;buenos_aires;3;9;2016-04-25;6890000.0;microempresarial
8741;femenino;comercio;legumbreria;villa_del_socorro;2;2;2018-08-24;7000000.0;microempresarial
8742;masculino;servicio;cafe_e_internet;aranjuez;1;4;2016-09-27;6890000.0;microempresarial
8743;femenino;industria;fabrica_de_;popular;2;1;2016-02-17;6444500.0;microempresarial
